ID,NodeFrom,NodeTo,R,G,X,B,S,Tap,Shift
4217,5666,5676,0.000078627,0,0.000248508,0.514000247,230.002491,1,0
4218,5672,5431,0.000025138,0,0.000175218,0.420943759,198.680084,1,0
4219,5672,5450,0.000042241,0,0.000294766,0.712155826,198.680084,1,0
4220,5676,5426,0.00002927,0,0.000116506,1.208092166,262.01079,1,0
4221,5677,5131,0.000017792,0,0.000085514,0.687523227,278.700831,1,0
4222,5677,5200,0.000012225,0,0.000036214,0.226072526,176.960167,1,0
4223,5677,5682,0.000041322,0,0.000101584,0.190492104,88.480083,1,0
4224,5671,5323,0,0,0.000015324,2.393193907,217.199171,1,0
4225,5671,5574,0.000089187,0,0.000418618,0.950270956,115.229876,1,0
4226,5659,5658,0,0,0,0.00985304,131.005395,1,0
4227,5657,5148,0,0,0,0.002736956,156.840665,1,0
4228,5673,5274,0.00003082,0,0.00011708,0.248515561,131.005395,1,0
4229,5685,5684,0,0,0.000020087,0.040506942,116.830291,1,0
4230,5686,5274,0.000033287,0,0.000104454,0.200892535,97.16805,1,0
10000000,10000000,1403,0.00045,0,0.009,0,1000000,1,0
10010000,10010000,1449,0.00045,0,0.009,0,1000000,1,0
10020000,10020000,1451,0.00045,0,0.009,0,1000000,1,0
10030000,10030000,1451,0.00045,0,0.009,0,1000000,1,0
10040000,10040000,1452,0.00045,0,0.009,0,1000000,1,0
10050000,10050000,1452,0.00045,0,0.009,0,1000000,1,0
10060000,10060000,1468,0.000232428,0,0.006203459,0,24.9415,1,0
10060001,10060013,10060000,0.000803977,0,0.000397368,0.02934021,9.3689,1,0
10060002,10060020,10060012,0.00095725,0,0.000715974,0.000487489,6.8465,1,0
10060003,10060009,10060024,0.002692324,0,0.00201371,0.001371097,6.8465,1,0
10060004,10060015,10060024,0.002923597,0,0.001657952,0.000957102,5.0448,1,0
10060005,10060006,10060020,0.001591412,0,0.001190325,0.000810461,6.8465,1,0
10060006,10060018,10060006,0.000562378,0,0.000420634,0.000286403,6.8465,1,0
10060007,10060002,10060018,0.001657213,0,0.001239537,0.000843962,6.8465,1,0
10060008,10060023,10060002,0.000412801,0,0.000308764,0.000210231,6.8465,1,0
10060009,10060031,10060045,0.002034134,0,0.001521476,0.001035919,6.8465,1,0
10060010,10060010,10060019,0.00352569,0,0.001312892,0.000739175,3.7836,1,0
10060011,10060003,10060010,0.002111486,0,0.001197418,0.000691262,5.0448,1,0
10060012,10060014,10060003,0.002165088,0,0.0012278,0.000708791,5.0448,1,0
10060013,10060005,10060019,0.001615348,0,0.00120823,0.000822667,6.8465,1,0
10060014,10060021,10060022,0.00251835,0,0.000937774,0.000528001,3.7836,1,0
10060015,10060017,10060008,0.001964313,0,0.000731477,0.000411835,3.7836,1,0
10060016,10060004,10060020,0.001076907,0,0.000805479,0.00054843,6.8465,1,0
10060017,10060048,10060000,0.000354879,0,0.000191039,0.011420902,8.8284,1,0
10060018,10060050,10060000,0.000687302,0,0.000372138,0.023194122,8.8284,1,0
10060019,10060025,10060000,0.002281602,0,0.002461052,0.005122028,8.4681,1,0
10060020,10060026,10060000,0.007068246,0,0.005252493,0.008798427,6.8465,1,0
10060021,10060041,10060026,0.005111327,0,0.003775908,0.010100359,6.8465,1,0
10060022,10060032,10060034,0.001981549,0,0.001123739,0.000648715,5.0448,1,0
10060023,10060045,10060047,0.001794821,0,0.001342465,0.000914036,6.8465,1,0
10060024,10060027,10060045,0.001854661,0,0.001387218,0.000944506,6.8465,1,0
10060025,10060036,10060027,0.001622534,0,0.001213591,0.000826303,6.8465,1,0
10060026,10060043,10060037,0.001435852,0,0.001073972,0.000731255,6.8465,1,0
10060027,10060042,10060028,0.00119654,0,0.000894985,0.000609372,6.8465,1,0
10060028,10060029,10060042,0.00119654,0,0.000894985,0.000609372,6.8465,1,0
10060029,10060039,10060042,0.002417616,0,0.000900276,0.000506879,3.7836,1,0
10060030,10060038,10060043,0.002048135,0,0.001161491,0.000670529,5.0448,1,0
10060031,10060044,10060030,0.003147938,0,0.001172234,0.000660012,3.7836,1,0
10060032,10060069,10060056,0.00095725,0,0.000715974,0.000487489,6.8465,1,0
10060033,10060057,10060078,0.001675165,0,0.001252983,0.000853138,6.8465,1,0
10060034,10060071,10060055,0.001770885,0,0.00132456,0.000901873,6.8465,1,0
10060035,10060070,10060071,0.00100734,0,0.000375119,0.000211196,3.7836,1,0
10060036,10060066,10060071,0.00251835,0,0.000937774,0.000528001,3.7836,1,0
10060037,10060063,10060057,0.002871612,0,0.002147945,0.001462509,6.8465,1,0
10060038,10060064,10060072,0.000924165,0,0.000264057,0.013062167,5.9457,1,0
10060039,10060053,10060064,0.007303215,0,0.002719587,0.001531198,3.7836,1,0
10060040,10060065,10060063,0.006269537,0,0.003555494,0.00205249,5.0448,1,0
10060041,10060068,10060069,0.001888763,0,0.000703336,0.000395994,3.7836,1,0
10060042,10060067,10060056,0.002266515,0,0.000843994,0.000475196,3.7836,1,0
10060043,10060049,10060000,0.00105267,0,0.000754812,0.005453571,6.8465,1,0
10060044,10060024,10060020,0.002845736,0,0.001059694,0.000596647,3.7836,1,0
10060045,10060001,10060011,0.00302202,0,0.001125333,0.00063361,3.7836,1,0
10060046,10060008,10060007,0.002467983,0,0.000919036,0.00051744,3.7836,1,0
10060047,10060016,10060023,0.007857252,0,0.002925907,0.001647325,3.7836,1,0
10060048,10060019,10060023,0.00221363,0,0.001655711,0.001127331,6.8465,1,0
10060049,10060011,10060005,0.004507847,0,0.001678631,0.000945112,3.7836,1,0
10060050,10060022,10060005,0.002010198,0,0.001503571,0.001023756,6.8465,1,0
10060051,10060012,10060013,0.001174013,0,0.000782675,0.073082174,11.8913,1,0
10060052,10060007,10060018,0.002871612,0,0.002147945,0.001462509,6.8465,1,0
10060053,10060033,10060037,0.004068637,0,0.002307317,0.00133197,5.0448,1,0
10060054,10060035,10060028,0.003865552,0,0.002192189,0.001265531,5.0448,1,0
10060055,10060047,10060041,0.002111486,0,0.001197418,0.000691262,5.0448,1,0
10060056,10060040,10060031,0.001914477,0,0.001431971,0.000974977,6.8465,1,0
10060057,10060030,10060045,0.00095725,0,0.000715974,0.000487489,6.8465,1,0
10060058,10060037,10060030,0.001376036,0,0.00102922,0.000700784,6.8465,1,0
10060059,10060028,10060043,0.002131056,0,0.001593954,0.001085304,6.8465,1,0
10060060,10060046,10060047,0.00554037,0,0.002063129,0.001161567,3.7836,1,0
10060061,10060034,10060047,0.001986285,0,0.001485665,0.001011551,6.8465,1,0
10060062,10060055,10060057,0.001435852,0,0.001073972,0.000731255,6.8465,1,0
10060063,10060076,10060058,0.000538442,0,0.000402751,0.000274215,6.8465,1,0
10060064,10060078,10060074,0.004546893,0,0.003400928,0.002315603,6.8465,1,0
10060065,10060059,10060076,0.00199823,0,0.001494606,0.001017654,6.8465,1,0
10060066,10060062,10060064,0.002491318,0,0.001863348,0.001268691,6.8465,1,0
10060067,10060060,10060069,0.001890542,0,0.001414065,0.000962815,6.8465,1,0
10060068,10060073,10060063,0.001950381,0,0.001458818,0.000993286,6.8465,1,0
10060069,10060054,10060076,0.001029035,0,0.000769691,0.000524062,6.8465,1,0
10060070,10060058,10060061,0.001639284,0,0.001226113,0.000834829,6.8465,1,0
10060071,10060061,10060000,0.000571827,0,0.000325237,0.027103813,10.0896,1,0
10060072,10060056,10060059,0.002201662,0,0.00164677,0.001121228,6.8465,1,0
10060073,10060072,10060077,0.000683882,0,0.000195403,0.009665805,5.9457,1,0
10060074,10060075,10060073,0.001108998,0,0.000316873,0.015674254,5.9457,1,0
10060075,10060074,10060060,0.000622217,0,0.000465386,0.000316874,6.8465,1,0
10060076,10060077,10060075,0.000831749,0,0.000237649,0.011755907,5.9457,1,0
10060077,10060052,10060053,0,0,0,0.000013062,5.9457,1,0
10060078,10060051,10060070,0,0,0,0.000013062,5.9457,1,0
10070000,10070000,1474,0.00045,0,0.009,0,1000000,1,0
10080000,10080000,1478,0.00045,0,0.009,0,1000000,1,0
10090000,10090000,1479,0.00045,0,0.009,0,1000000,1,0
10100000,10100000,1490,0.000159218,0,0.004113829,0,24.8567,1,0
10100001,10100001,10100000,0.001197945,0,0.000750054,0.021134046,9.259,1,0
10100002,10100033,10100000,0.002315253,0,0.001961757,0.02492085,6.1025,1,0
10100003,10100034,10100000,0.000220767,0,0.000147179,0.005051346,9.259,1,0
10100004,10100035,10100000,0.001209835,0,0.001706772,0.007509318,7.5755,1,0
10100005,10100036,10100000,0.001305679,0,0.00087044,0.029875105,9.259,1,0
10100006,10100037,10100000,0.001047073,0,0.000698036,0.023957814,9.259,1,0
10100007,10100038,10100000,0.000709583,0,0.000308672,0.013572508,6.7338,1,0
10100008,10100002,10100001,0.000040883,0,0.000043653,0.000933016,9.5395,1,0
10100009,10100003,10100002,0.000280903,0,0.00027072,0.005761159,8.1367,1,0
10100010,10100014,10100002,0.002180348,0,0.002028562,0.011800207,5.3309,1,0
10100011,10100004,10100003,0.000480626,0,0.000320429,0.010997503,9.259,1,0
10100012,10100005,10100004,0.000378457,0,0.000252306,0.008659451,9.259,1,0
10100013,10100006,10100005,0.002346426,0,0.001564284,0.053688595,9.259,1,0
10100014,10100007,10100006,0.000138769,0,0.000092513,0.003175132,9.259,1,0
10100015,10100017,10100006,0.000212669,0,0.000171874,0.007197578,10.1007,1,0
10100016,10100008,10100007,0.000201842,0,0.000134562,0.004618374,9.259,1,0
10100017,10100009,10100008,0.002432323,0,0.000890714,0.000445831,2.946,1,0
10100018,10100021,10100008,0.000245999,0,0.000163997,0.005628643,9.259,1,0
10100019,10100010,10100009,0.005906079,0,0.002299476,0.000477398,2.946,1,0
10100020,10100011,10100010,0.00132923,0,0.000494993,0.000102433,2.946,1,0
10100021,10100012,10100011,0.001536922,0,0.000572316,0.00011844,2.946,1,0
10100022,10100013,10100012,0.000951687,0,0.000365527,0.000936375,2.946,1,0
10100023,10100015,10100014,0.000429561,0,0.000220882,0.006222996,7.2949,1,0
10100024,10100016,10100015,0.00043642,0,0.000223858,0.006301981,7.2949,1,0
10100025,10100018,10100017,0.000370424,0,0.00029937,0.012536523,10.1007,1,0
10100026,10100019,10100018,0.001059916,0,0.000464201,0.002925058,2.946,1,0
10100027,10100020,10100019,0.000599716,0,0.000215504,0.000840334,2.946,1,0
10100028,10100022,10100021,0.001752807,0,0.000746434,0.001351347,3.928,1,0
10100029,10100023,10100022,0.001453845,0,0.000541372,0.000112038,2.946,1,0
10100030,10100024,10100023,0.004658783,0,0.00100161,0.000212471,2.6093,1,0
10100031,10100025,10100024,0.001931042,0,0.000931071,0.011382192,3.928,1,0
10100032,10100026,10100025,0.000709583,0,0.000298109,0.000073527,3.928,1,0
10100033,10100027,10100026,0.000321485,0,0.000182312,0.000038684,3.928,1,0
10100034,10100032,10100026,0.000106159,0,0.000024499,0.00026658,3.5855,1,0
10100035,10100028,10100027,0.000820136,0,0.000799367,0.000197687,6.1025,1,0
10100036,10100029,10100028,0.000312868,0,0.000213858,0.000942411,5.0503,1,0
10100037,10100030,10100029,0.000362989,0,0.00026271,0.000954481,5.0503,1,0
10100038,10100031,10100030,0.002664862,0,0.001796442,0.002693352,3.928,1,0
10110000,10110000,1494,0.00045,0,0.009,0,1000000,1,0
10120000,10120000,1522,0.000232428,0,0.006203459,0,24.9415,1,0
10120001,10120013,10120000,0.000803977,0,0.000397368,0.02934021,9.3689,1,0
10120002,10120020,10120012,0.00095725,0,0.000715974,0.000487489,6.8465,1,0
10120003,10120009,10120024,0.002692324,0,0.00201371,0.001371097,6.8465,1,0
10120004,10120015,10120024,0.002923597,0,0.001657952,0.000957102,5.0448,1,0
10120005,10120006,10120020,0.001591412,0,0.001190325,0.000810461,6.8465,1,0
10120006,10120018,10120006,0.000562378,0,0.000420634,0.000286403,6.8465,1,0
10120007,10120002,10120018,0.001657213,0,0.001239537,0.000843962,6.8465,1,0
10120008,10120023,10120002,0.000412801,0,0.000308764,0.000210231,6.8465,1,0
10120009,10120010,10120019,0.00352569,0,0.001312892,0.000739175,3.7836,1,0
10120010,10120003,10120010,0.002111486,0,0.001197418,0.000691262,5.0448,1,0
10120011,10120014,10120003,0.002165088,0,0.0012278,0.000708791,5.0448,1,0
10120012,10120005,10120019,0.001615348,0,0.00120823,0.000822667,6.8465,1,0
10120013,10120021,10120022,0.00251835,0,0.000937774,0.000528001,3.7836,1,0
10120014,10120017,10120008,0.001964313,0,0.000731477,0.000411835,3.7836,1,0
10120015,10120004,10120020,0.001076907,0,0.000805479,0.00054843,6.8465,1,0
10120016,10120033,10120000,0.000354879,0,0.000191039,0.011420902,8.8284,1,0
10120017,10120035,10120000,0.000687302,0,0.000372138,0.023194122,8.8284,1,0
10120018,10120027,10120000,0.002281602,0,0.002461052,0.005122028,8.4681,1,0
10120019,10120029,10120027,0.001247623,0,0.001358523,0.00093598,8.4681,1,0
10120020,10120028,10120029,0.010943271,0,0.011915955,0.008209788,8.4681,1,0
10120021,10120025,10120028,0.002446265,0,0.002663675,0.001835256,8.4681,1,0
10120022,10120026,10120025,0.000926476,0,0.000681225,0.000460004,5.0448,1,0
10120023,10120032,10120000,0.007068246,0,0.005252493,0.008798427,6.8465,1,0
10120024,10120054,10120041,0.00095725,0,0.000715974,0.000487489,6.8465,1,0
10120025,10120042,10120063,0.001675165,0,0.001252983,0.000853138,6.8465,1,0
10120026,10120056,10120040,0.001770885,0,0.00132456,0.000901873,6.8465,1,0
10120027,10120055,10120056,0.00100734,0,0.000375119,0.000211196,3.7836,1,0
10120028,10120051,10120056,0.00251835,0,0.000937774,0.000528001,3.7836,1,0
10120029,10120048,10120042,0.002871612,0,0.002147945,0.001462509,6.8465,1,0
10120030,10120049,10120057,0.000924165,0,0.000264057,0.013062167,5.9457,1,0
10120031,10120038,10120049,0.007303215,0,0.002719587,0.001531198,3.7836,1,0
10120032,10120050,10120048,0.006269537,0,0.003555494,0.00205249,5.0448,1,0
10120033,10120053,10120054,0.001888763,0,0.000703336,0.000395994,3.7836,1,0
10120034,10120052,10120041,0.002266515,0,0.000843994,0.000475196,3.7836,1,0
10120035,10120034,10120000,0.00105267,0,0.000754812,0.005453571,6.8465,1,0
10120036,10120024,10120020,0.002845736,0,0.001059694,0.000596647,3.7836,1,0
10120037,10120001,10120011,0.00302202,0,0.001125333,0.00063361,3.7836,1,0
10120038,10120008,10120007,0.002467983,0,0.000919036,0.00051744,3.7836,1,0
10120039,10120016,10120023,0.007857252,0,0.002925907,0.001647325,3.7836,1,0
10120040,10120019,10120023,0.00221363,0,0.001655711,0.001127331,6.8465,1,0
10120041,10120011,10120005,0.004507847,0,0.001678631,0.000945112,3.7836,1,0
10120042,10120022,10120005,0.002010198,0,0.001503571,0.001023756,6.8465,1,0
10120043,10120012,10120013,0.001174013,0,0.000782675,0.073082174,11.8913,1,0
10120044,10120007,10120018,0.002871612,0,0.002147945,0.001462509,6.8465,1,0
10120045,10120031,10120027,0.001017067,0,0.000760727,0.000517959,6.8465,1,0
10120046,10120030,10120031,0.000338429,0,0.000225623,0.021067662,11.8913,1,0
10120047,10120040,10120042,0.001435852,0,0.001073972,0.000731255,6.8465,1,0
10120048,10120061,10120043,0.000538442,0,0.000402751,0.000274215,6.8465,1,0
10120049,10120063,10120059,0.004546893,0,0.003400928,0.002315603,6.8465,1,0
10120050,10120044,10120061,0.00199823,0,0.001494606,0.001017654,6.8465,1,0
10120051,10120047,10120049,0.002491318,0,0.001863348,0.001268691,6.8465,1,0
10120052,10120045,10120054,0.001890542,0,0.001414065,0.000962815,6.8465,1,0
10120053,10120058,10120048,0.001950381,0,0.001458818,0.000993286,6.8465,1,0
10120054,10120039,10120061,0.001029035,0,0.000769691,0.000524062,6.8465,1,0
10120055,10120043,10120046,0.001639284,0,0.001226113,0.000834829,6.8465,1,0
10120056,10120046,10120000,0.000571827,0,0.000325237,0.027103813,10.0896,1,0
10120057,10120041,10120044,0.002201662,0,0.00164677,0.001121228,6.8465,1,0
10120058,10120057,10120062,0.000683882,0,0.000195403,0.009665805,5.9457,1,0
10120059,10120060,10120058,0.001108998,0,0.000316873,0.015674254,5.9457,1,0
10120060,10120059,10120045,0.000622217,0,0.000465386,0.000316874,6.8465,1,0
10120061,10120062,10120060,0.000831749,0,0.000237649,0.011755907,5.9457,1,0
10120062,10120037,10120038,0,0,0,0.000013062,5.9457,1,0
10120063,10120036,10120055,0,0,0,0.000013062,5.9457,1,0
10130000,10130000,1534,0.00045,0,0.009,0,1000000,1,0
10140000,10140000,1537,0.00045,0,0.009,0,1000000,1,0
10150000,10150000,1537,0.00009,0,0.002782489,0,40.0104,1,0
10150001,10150002,10150000,0.000389778,0,0.000268529,0.00732015,7.2746,1,0
10150002,10150009,10150000,0.000556622,0,0.000286573,0.010011375,8.3138,1,0
10150003,10150008,10150000,0.001444844,0,0.000932978,0.03052125,6.755,1,0
10150004,10150001,10150000,0.00030408,0,0.000184924,0.006431175,8.8335,1,0
10150005,10150007,10150000,0.000132413,0,0.000088276,0.0022275,8.5737,1,0
10150006,10150021,10150000,0.000018391,0,0.00001226,0.000309375,8.5737,1,0
10150007,10150013,10150021,0.000036798,0,0.000015293,0.00050895,6.2354,1,0
10150008,10150017,10150013,0.000064396,0,0.000026763,0.000890685,6.2354,1,0
10150009,10150011,10150017,0.000238836,0,0.000125009,0.003237075,6.5472,1,0
10150010,10150015,10150011,0.000204773,0,0.00010852,0.002805975,6.5472,1,0
10150011,10150010,10150015,0.000391911,0,0.000188964,0.006291675,6.2354,1,0
10150012,10150020,10150010,0.000229987,0,0.000095578,0.00318105,6.2354,1,0
10150013,10150019,10150020,0.000357653,0,0.000173116,0.0045261,6.5472,1,0
10150014,10150022,10150019,0.000187342,0,0.00009068,0.002370825,6.5472,1,0
10150015,10150016,10150022,0.000222253,0,0.000126409,0.0028467,7.2746,1,0
10150016,10150024,10150016,0.000169738,0,0.000096542,0.002174107,7.2746,1,0
10150017,10150012,10150024,0.000290133,0,0.000156187,0.00252315,6.3653,1,0
10150018,10150018,10150012,0.000059733,0,0.000032156,0.000519502,6.3653,1,0
10150019,10150014,10150018,0.000746356,0,0.000389862,0.009497025,6.5472,1,0
10150020,10150023,10150014,0.000354631,0,0.000200258,0.004539825,6.5472,1,0
10150021,10150003,10150000,0.000340582,0,0.000201676,0.006720075,7.2746,1,0
10150022,10150025,10150000,0.000153996,0,0.000079391,0.003095775,8.3138,1,0
10150023,10150005,10150000,0.001044178,0,0.000565822,0.016584975,7.2746,1,0
10150024,10150006,10150000,0.00034972,0,0.000195773,0.00613665,7.2746,1,0
10150025,10150004,10150000,0.000761556,0,0.000227196,0.008615475,9.3531,1,0
10160000,10160000,1537,0.00045,0,0.009,0,1000000,1,0
10170000,10170000,1538,0.00045,0,0.009,0,1000000,1,0
10180000,10180000,1538,0.00045,0,0.009,0,1000000,1,0
10190000,10190000,1554,0.00045,0,0.009,0,1000000,1,0
10200000,10200000,1568,0.00009,0,0.002782489,0,40.0104,1,0
10200001,10200002,10200000,0.000389778,0,0.000268529,0.00732015,7.2746,1,0
10200002,10200009,10200000,0.000556622,0,0.000286573,0.010011375,8.3138,1,0
10200003,10200008,10200000,0.001444844,0,0.000932978,0.03052125,6.755,1,0
10200004,10200001,10200000,0.00030408,0,0.000184924,0.006431175,8.8335,1,0
10200005,10200007,10200000,0.000132413,0,0.000088276,0.0022275,8.5737,1,0
10200006,10200010,10200000,0.000018391,0,0.00001226,0.000309375,8.5737,1,0
10200007,10200003,10200000,0.000340582,0,0.000201676,0.006720075,7.2746,1,0
10200008,10200013,10200000,0.000153996,0,0.000079391,0.003095775,8.3138,1,0
10200009,10200012,10200013,0.000705644,0,0.000417969,0.018441675,8.3138,1,0
10200010,10200015,10200012,0.000137991,0,0.000057347,0.001908607,6.2354,1,0
10200011,10200014,10200015,0.000470756,0,0.000277102,0.0064134,7.2746,1,0
10200012,10200021,10200012,0.000340382,0,0.000141458,0.0047079,6.2354,1,0
10200013,10200020,10200021,0.000212889,0,0.000103044,0.00269415,6.5472,1,0
10200014,10200018,10200020,0.000171511,0,0.000092613,0.00153018,6.3653,1,0
10200015,10200011,10200018,0.000039329,0,0.000021486,0.000384458,6.3653,1,0
10200016,10200022,10200021,0.000491289,0,0.00020884,0.006715125,6.2354,1,0
10200017,10200017,10200022,0.00039168,0,0.000210849,0.0034065,6.3653,1,0
10200018,10200016,10200017,0.000213729,0,0.000107151,0.002189408,6.2354,1,0
10200019,10200019,10200016,0.000217764,0,0.000103311,0.00266265,6.2354,1,0
10200020,10200005,10200000,0.001044178,0,0.000565822,0.016584975,7.2746,1,0
10200021,10200006,10200000,0.00034972,0,0.000195773,0.00613665,7.2746,1,0
10200022,10200004,10200000,0.000761556,0,0.000227196,0.008615475,9.3531,1,0
10210000,10210000,1569,0.00045,0,0.009,0,1000000,1,0
10220000,10220000,1569,0.000232428,0,0.006203459,0,24.9415,1,0
10220001,10220001,10220000,0.000803977,0,0.000397368,0.02934021,9.3689,1,0
