ID,Vsqmin,Vsqmax,Root,G,B,Qmin,Qmax
10060000,0.902502,1.102508,0,0,0,0,0
10060001,0.902502,1.102508,0,0,0,0,0
10060002,0.902502,1.102508,0,0,0,0,0
10060003,0.902502,1.102508,0,0,0,0,0
10060004,0.902502,1.102508,0,0,0,0,0
10060005,0.902502,1.102508,0,0,0,0,0
10060006,0.902502,1.102508,0,0,0,0,0
10060007,0.902502,1.102508,0,0,0,0,0
10060008,0.902502,1.102508,0,0,0,0,0
10060009,0.902502,1.102508,0,0,0,0,0
10060010,0.902502,1.102508,0,0,0,0,0
10060011,0.902502,1.102508,0,0,0,0,0
10060012,0.902502,1.102508,0,0,0,0,0
10060013,0.902502,1.102508,0,0,0,0,0
10060014,0.902502,1.102508,0,0,0,0,0
10060015,0.902502,1.102508,0,0,0,0,0
10060016,0.902502,1.102508,0,0,0,0,0
10060017,0.902502,1.102508,0,0,0,0,0
10060018,0.902502,1.102508,0,0,0,0,0
10060019,0.902502,1.102508,0,0,0,0,0
10060020,0.902502,1.102508,0,0,0,0,0
10060021,0.902502,1.102508,0,0,0,0,0
10060022,0.902502,1.102508,0,0,0,0,0
10060023,0.902502,1.102508,0,0,0,0,0
10060024,0.902502,1.102508,0,0,0,0,0
10060025,0.902502,1.102508,0,0,0,0,0
10060026,0.902502,1.102508,0,0,0,0,0
10060027,0.902502,1.102508,0,0,0,0,0
10060028,0.902502,1.102508,0,0,0,0,0
10060029,0.902502,1.102508,0,0,0,0,0
10060030,0.902502,1.102508,0,0,0,0,0
10060031,0.902502,1.102508,0,0,0,0,0
10060032,0.902502,1.102508,0,0,0,0,0
10060033,0.902502,1.102508,0,0,0,0,0
10060034,0.902502,1.102508,0,0,0,0,0
10060035,0.902502,1.102508,0,0,0,0,0
10060036,0.902502,1.102508,0,0,0,0,0
10060037,0.902502,1.102508,0,0,0,0,0
10060038,0.902502,1.102508,0,0,0,0,0
10060039,0.902502,1.102508,0,0,0,0,0
10060040,0.902502,1.102508,0,0,0,0,0
10060041,0.902502,1.102508,0,0,0,0,0
10060042,0.902502,1.102508,0,0,0,0,0
10060043,0.902502,1.102508,0,0,0,0,0
10060044,0.902502,1.102508,0,0,0,0,0
10060045,0.902502,1.102508,0,0,0,0,0
10060046,0.902502,1.102508,0,0,0,0,0
10060047,0.902502,1.102508,0,0,0,0,0
10060048,0.902502,1.102508,0,0,0,0,0
10060049,0.902502,1.102508,0,0,0,0,0
10060050,0.902502,1.102508,0,0,0,0,0
10060051,0.902502,1.102508,0,0,0,0,0
10060052,0.902502,1.102508,0,0,0,0,0
10060053,0.902502,1.102508,0,0,0,0,0
10060054,0.902502,1.102508,0,0,0,0,0
10060055,0.902502,1.102508,0,0,0,0,0
10060056,0.902502,1.102508,0,0,0,0,0
10060057,0.902502,1.102508,0,0,0,0,0
10060058,0.902502,1.102508,0,0,0,0,0
10060059,0.902502,1.102508,0,0,0,0,0
10060060,0.902502,1.102508,0,0,0,0,0
10060061,0.902502,1.102508,0,0,0,0,0
10060062,0.902502,1.102508,0,0,0,0,0
