Node,forT,P,Q
1220,91,83.0774736041,0.0000000000
1220,92,74.3258146153,0.0000000000
1221,89,-0.1015052931,0.0000000000
1221,90,-0.1036087022,0.0000000000
1221,91,-0.0997715516,0.0000000000
1221,92,-0.0899513111,0.0000000000
1222,89,-0.1753143844,0.0000000000
1222,90,-0.1505171484,0.0000000000
1222,91,-0.1073874260,0.0000000000
1222,92,-0.0438920830,0.0000000000
1223,89,-18.4910611784,0.0000000000
1223,90,-18.4781932005,0.0000000000
1223,91,-18.4515116683,0.0000000000
1223,92,-18.4119293928,0.0000000000
1224,89,-0.9350195355,0.0000000000
1224,90,-0.9469318385,0.0000000000
1224,91,-0.9762153387,0.0000000000
1224,92,-1.0246794524,0.0000000000
1226,89,-0.7351215496,0.0000000000
1226,90,-0.7183149427,0.0000000000
1226,91,-0.7141449249,0.0000000000
1226,92,-0.7123324994,0.0000000000
1227,89,-0.0694857467,0.0000000000
1227,90,-0.0659212899,0.0000000000
1227,91,-0.0649852592,0.0000000000
1227,92,-0.0647863988,0.0000000000
1228,89,-6.9400366110,0.0000000000
1228,90,-6.8975958010,0.0000000000
1228,91,-6.9087381499,0.0000000000
1228,92,-6.9546405396,0.0000000000
1229,89,-0.6795680567,0.0000000000
1229,90,-0.6548984095,0.0000000000
1229,91,-0.6459700553,0.0000000000
1229,92,-0.6531257484,0.0000000000
1230,89,-1.8027142616,0.0000000000
1230,90,-1.8090797202,0.0000000000
1230,91,-1.8355596050,0.0000000000
1230,92,-1.8859314060,0.0000000000
1231,89,-0.0207796467,0.0000000000
1231,90,-0.0171913566,0.0000000000
1231,91,-0.0166357680,0.0000000000
1231,92,-0.0197419070,0.0000000000
1232,89,-0.2392839436,0.0000000000
1232,90,-0.2352826216,0.0000000000
1232,91,-0.2316704375,0.0000000000
1232,92,-0.2284612889,0.0000000000
1233,89,94.6882234254,0.0000000000
1233,90,89.4445410748,0.0000000000
1233,91,84.2005134480,0.0000000000
1233,92,78.9561460223,0.0000000000
1234,89,0.0000000000,0.0000000000
1234,90,0.0000000000,0.0000000000
1234,91,0.0000000000,0.0000000000
1234,92,0.0000000000,0.0000000000
1235,89,-0.1134097419,0.0000000000
1235,90,-0.1126445450,0.0000000000
1235,91,-0.1109525957,0.0000000000
1235,92,-0.1081157991,0.0000000000
1236,89,-1.2562893413,0.0000000000
1236,90,-1.2562893413,0.0000000000
1236,91,-1.2562893413,0.0000000000
1236,92,-1.2562893413,0.0000000000
1240,89,-0.0162751461,0.0000000000
1240,90,-0.0152247702,0.0000000000
1240,91,-0.0142951234,0.0000000000
1240,92,-0.0130795961,0.0000000000
1241,89,72.0349962392,0.0000000000
1241,90,74.6986283549,0.0000000000
1241,91,75.4516530664,0.0000000000
1241,92,66.9665636052,0.0000000000
1246,89,0.0000000000,0.0000000000
1246,90,0.0000000000,0.0000000000
1246,91,0.0000000000,0.0000000000
1246,92,0.0000000000,0.0000000000
1247,89,0.0000000000,0.0000000000
1247,90,0.0000000000,0.0000000000
1247,91,0.0000000000,0.0000000000
1247,92,0.0000000000,0.0000000000
1248,89,0.0000000000,0.0000000000
1248,90,0.0000000000,0.0000000000
1248,91,0.0000000000,0.0000000000
1248,92,0.0000000000,0.0000000000
1249,89,-1.2535747184,0.0000000000
1249,90,-1.2532815632,0.0000000000
