Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,AlphaOmegaSet,NoNewAct,solution
10150015,105,309,334,1,-1.380842257,-3,-1.480099117,-3,0,1,0,0,1.49E-08
10150015,105,310,335,2,0,-4.7,-1.509394256,-4.7,0,1,0,0,9.01E-10
10150015,105,310,336,2,-1.509394256,-3,-1.617891613,-3,0,1,0,0,1.34E-08
10150015,105,311,337,3,0,-4.7,-1.705951993,-4.7,0,1,0,0,9.19E-10
10150015,105,311,338,3,-1.705951993,-3,-1.828578193,-3,0,1,0,0,1.37E-08
10150015,105,312,339,4,0,-4.7,-2.025510193,-4.7,0,1,0,0,2.02E-09
10150015,105,312,340,4,-2.025510193,-3,-2.171106682,-3,0,1,0,0,2.88E-08
10150016,106,313,341,1,0,-3,-0.042244187,-3,0,1,0,0,3.90E-08
10150016,106,314,342,2,0,-3,-0.046176985,-3,0,1,0,0,3.47E-08
10150016,106,315,343,3,0,-3,-0.052190287,-3,0,1,0,0,3.57E-08
10150016,106,316,344,4,0,-3,-0.06196655,-3,0,1,0,0,8.58E-08
10150017,107,317,345,1,0,-3,-0.255728886,-3,0,1,0,0,5.41E-09
10150017,107,318,346,2,0,-3,-0.279536428,-3,0,1,0,0,4.91E-09
10150017,107,319,347,3,0,-3,-0.31593848,-3,0,1,0,0,4.97E-09
10150017,107,320,348,4,0,-3,-0.375119941,-3,0,1,0,0,1.06E-08
10150018,108,321,349,1,0,-3,-0.365098274,-3,0,1,0,0,3.69E-09
10150018,108,322,350,2,0,-3,-0.399087756,-3,0,1,0,0,3.34E-09
10150018,108,323,351,3,0,-3,-0.451058132,-3,0,1,0,0,3.42E-09
10150018,108,324,352,4,0,-3,-0.535550149,-3,0,1,0,0,7.03E-09
10150019,109,325,353,1,0,25.1,0.003,25.1,0,1,0,0,0.999999
10150019,109,325,354,1,0,-4.7,-0.282149152,-4.7,0,1,0,0,4.94E-09
10150019,109,325,355,1,-0.282149152,-3,-0.544881864,-3,0,1,0,0,5.18E-09
10150019,109,326,356,2,0,25.1,0.003,25.1,0,1,0,0,0.999999
10150019,109,326,357,2,0,-4.7,-0.308416336,-4.7,0,1,0,0,4.46E-09
10150019,109,326,358,2,-0.308416336,-3,-0.595608623,-3,0,1,0,0,4.67E-09
10150019,109,327,359,3,0,25.1,0.003,25.1,0,1,0,0,0.999999
10150019,109,327,360,3,0,-4.7,-0.348579214,-4.7,0,1,0,0,4.60E-09
10150019,109,327,361,3,-0.348579214,-3,-0.673170521,-3,0,1,0,0,4.80E-09
10150019,109,328,362,4,0,-25.1,-0.01,-25.1,0,1,0,0,1
10150019,109,328,363,4,-0.01,-25.1,-0.423874924,-25.1,0,1,0,0,0.999997
10150019,109,328,364,4,-0.423874924,-4.7,-0.809268537,-4.7,0,1,0,0,1.06E-08
10150020,110,329,365,1,0,-3,-0.073856844,-3,0,1,0,0,2.10E-08
10150020,110,330,366,2,0,-3,-0.08073268,-3,0,1,0,0,1.87E-08
10150020,110,331,367,3,0,-3,-0.091245926,-3,0,1,0,0,1.93E-08
10150020,110,332,368,4,0,-3,-0.108338074,-3,0,1,0,0,4.34E-08
10150021,111,333,369,1,0,-4.7,-0.286982677,-4.7,0,1,0,0,5.00E-09
10150021,111,333,370,1,-0.286982677,-3,-0.392342216,-3,0,1,0,0,1.43E-08
10150021,111,334,371,2,0,-4.7,-0.313699847,-4.7,0,1,0,0,4.59E-09
10150021,111,334,372,2,-0.313699847,-3,-0.428868022,-3,0,1,0,0,1.30E-08
10150021,111,335,373,3,0,-4.7,-0.354550759,-4.7,0,1,0,0,4.61E-09
10150021,111,335,374,3,-0.354550759,-3,-0.484716471,-3,0,1,0,0,1.32E-08
10150021,111,336,375,4,0,-4.7,-0.420965056,-4.7,0,1,0,0,1.09E-08
10150021,111,336,376,4,-0.420965056,-3,-0.575513354,-3,0,1,0,0,3.25E-08
10150022,112,337,377,1,0,-3,-0.053387983,-3,0,1,0,0,2.95E-08
